date 20111019, 20high 4802.0,20low 4095.0,10high 4471.0 10low 4095.0,Today high 4128.0, low 4024.0, position -1 , N 65.1517651854
date 20111020, 20high 4775.0,20low 4024.0,10high 4392.0 10low 4024.0,Today high 4004.0, low 3856.0, position -1 , N 67.0941769261
date 20111021, 20high 4765.0,20low 3856.0,10high 4392.0 10low 3856.0,Today high 3995.0, low 3924.0, position -1 , N 73.6894680798
date 20111024, 20high 4715.0,20low 3856.0,10high 4392.0 10low 3856.0,Today high 4126.0, low 3967.0, position -1 , N 73.5549946758
date 20111025, 20high 4656.0,20low 3856.0,10high 4392.0 10low 3856.0,Today high 4140.0, low 4031.0, position -1 , N 77.827244942
date 20111026, 20high 4656.0,20low 3856.0,10high 4354.0 10low 3856.0,Today high 4057.0, low 3991.0, position -1 , N 79.3858826949
date 20111027, 20high 4610.0,20low 3856.0,10high 4350.0 10low 3856.0,Today high 4082.0, low 4042.0, position -1 , N 78.7165885602
date 20111028, 20high 4553.0,20low 3856.0,10high 4340.0 10low 3856.0,Today high 4163.0, low 4069.0, position -1 , N 76.7807591322
date 20111031, 20high 4526.0,20low 3856.0,10high 4325.0 10low 3856.0,Today high 4170.0, low 4080.0, position -1 , N 78.1917211756
date 20111101, 20high 4489.0,20low 3856.0,10high 4170.0 10low 3856.0,Today high 4133.0, low 4053.0, position -1 , N 78.7821351168
date 20111102, 20high 4471.0,20low 3856.0,10high 4170.0 10low 3856.0,Today high 4055.0, low 3964.0, position -1 , N 78.8430283609
date 20111103, 20high 4392.0,20low 3856.0,10high 4170.0 10low 3856.0,Today high 4068.0, low 4007.0, position -1 , N 79.4508769429
date 20111104, 20high 4392.0,20low 3856.0,10high 4170.0 10low 3924.0,Today high 4132.0, low 4050.0, position -1 , N 78.5283330958
date 20111107, 20high 4392.0,20low 3856.0,10high 4170.0 10low 3964.0,Today high 4145.0, low 4099.0, position -1 , N 80.001916441
date 20111108, 20high 4392.0,20low 3856.0,10high 4170.0 10low 3964.0,Today high 4168.0, low 4118.0, position -1 , N 78.3018206189
date 20111109, 20high 4354.0,20low 3856.0,10high 4170.0 10low 3964.0,Today high 4196.0, low 4163.0, position -1 , N 76.886729588
date 20111110, 20high 4350.0,20low 3856.0,10high 4196.0 10low 3964.0,Today high 4124.0, low 4038.0, position 0 , N 74.9423931086
date 20111111, 20high 4340.0,20low 3856.0,10high 4196.0 10low 3964.0,Today high 4182.0, low 4096.0, position 0 , N 78.5952734531
date 20111114, 20high 4325.0,20low 3856.0,10high 4196.0 10low 3964.0,Today high 4237.0, low 4189.0, position 0 , N 79.9155097805
date 20111115, 20high 4237.0,20low 3856.0,10high 4237.0 10low 3964.0,Today high 4194.0, low 4165.0, position 0 , N 79.0697342915
date 20111116, 20high 4237.0,20low 3856.0,10high 4237.0 10low 3964.0,Today high 4223.0, low 4147.0, position 0 , N 77.2162475769
date 20111117, 20high 4237.0,20low 3856.0,10high 4237.0 10low 4007.0,Today high 4201.0, low 4150.0, position 0 , N 77.155435198
date 20111118, 20high 4237.0,20low 3924.0,10high 4237.0 10low 4038.0,Today high 4184.0, low 4121.0, position 0 , N 75.8476634381
date 20111121, 20high 4237.0,20low 3964.0,10high 4237.0 10low 4038.0,Today high 4173.0, low 4075.0, position 0 , N 75.7552802662
date 20111122, 20high 4237.0,20low 3964.0,10high 4237.0 10low 4038.0,Today high 4108.0, low 4059.0, position 0 , N 76.8675162529
date 20111123, 20high 4237.0,20low 3964.0,10high 4237.0 10low 4038.0,Today high 4120.0, low 4055.0, position 0 , N 75.4741404403
date 20111124, 20high 4237.0,20low 3964.0,10high 4237.0 10low 4038.0,Today high 4096.0, low 4014.0, position 0 , N 74.9504334183
date 20111125, 20high 4237.0,20low 3964.0,10high 4237.0 10low 4014.0,Today high 4089.0, low 4050.0, position 0 , N 75.3029117473
date 20111128, 20high 4237.0,20low 3964.0,10high 4237.0 10low 4014.0,Today high 4122.0, low 4073.0, position 0 , N 73.58776616
date 20111129, 20high 4237.0,20low 3964.0,10high 4223.0 10low 4014.0,Today high 4150.0, low 4106.0, position 0 , N 72.658377852
date 20111130, 20high 4237.0,20low 3964.0,10high 4223.0 10low 4014.0,Today high 4157.0, low 4088.0, position 0 , N 71.2754589594
date 20111201, 20high 4237.0,20low 4007.0,10high 4201.0 10low 4014.0,Today high 4258.0, low 4171.0, position 0 , N 71.1616860114
date 20111202, 20high 4258.0,20low 4014.0,10high 4258.0 10low 4014.0,Today high 4181.0, low 4154.0, position 1 , N 75.8036017108
date 20111205, 20high 4258.0,20low 4014.0,10high 4258.0 10low 4014.0,Today high 4189.0, low 4171.0, position 0 , N 73.6634216253
date 20111206, 20high 4258.0,20low 4014.0,10high 4258.0 10low 4014.0,Today high 4173.0, low 4139.0, position 0 , N 70.880250544
date 20111207, 20high 4258.0,20low 4014.0,10high 4258.0 10low 4014.0,Today high 4194.0, low 4168.0, position 0 , N 69.1862380168
